
Statistical table extracted on December 19, 2025 (10:04:22)
http://www.ine.pt



Data reference period (1) ;Place of residence (NUTS - 2013) (2) ;Resident population (No.) by Place of residence (NUTS - 2013), Sex and Age group (By life cycles) -  Annual;
;;Sex;
;;MF;
;;Age group (By life cycles);
;;Total;
;;No. ;
;1851412: Golegã;5442;
;1851414: Rio Maior;22315;
;1851415: Salvaterra de Magos;23337;
;1851416: Santarém;61009;
;186: Alto Alentejo;104081;
;1861201: Alter do Chão;3180;
;1861202: Arronches;2768;
;1861203: Avis;3802;
;1861204: Campo Maior;7916;
;1861205: Castelo de Vide;3197;
;1861206: Crato;3275;
;1861207: Elvas;20412;
;1861208: Fronteira;2974;
;1861209: Gavião;3324;
;1861210: Marvão;3024;
;1861211: Monforte;3002;
;1861212: Nisa;5685;
;1861213: Ponte de Sor;15207;
;1861214: Portalegre;21914;
;1861215: Sousel;4401;
;187: Alentejo Central;153475;
;1870701: Alandroal;4996;
;1870702: Arraiolos;6778;
;1870703: Borba;6398;
;1870704: Estremoz;12550;
;1870705: Évora;53937;
;1870706: Montemor-o-Novo;15951;
;1870707: Mora;4155;
;1870708: Mourão;2424;
;1870709: Portel;5737;
;1870710: Redondo;6299;
;1870711: Reguengos de Monsaraz;9875;
;1870712: Vendas Novas;11537;
;1870713: Viana do Alentejo;5538;
;1870714: Vila Viçosa;7300;
;15: Algarve;484122;
;150: Algarve;484122;
;1500801: Albufeira;47524;
;1500802: Alcoutim;2413;
;1500803: Aljezur;6362;
;1500804: Castro Marim;6819;
;1500805: Faro;69468;
;1500806: Lagoa;24918;
;1500807: Lagos;34552;
;1500808: Loulé;74410;
;1500809: Monchique;5323;
;1500810: Olhão;45043;
;1500811: Portimão;63079;
;1500812: São Brás de Alportel;11604;
;1500813: Silves;39497;
;1500814: Tavira;27861;
;1500815: Vila do Bispo;5935;
;1500816: Vila Real de Santo António;19314;
;2: Região Autónoma dos Açores;241025;
;20: Região Autónoma dos Açores;241025;
;200: Região Autónoma dos Açores;241025;
