
Quadro extraído em 19 de Dezembro de 2025 (11:14:13)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de envelhecimento (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
     Dimensão 2;Local de residência (NUTS - 2013)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ÍNDICE DE ENVELHECIMENTO;Relação entre a população idosa e a população jovem, definida habitualmente como o quociente entre o número de pessoas com 65 ou mais anos e o número de pessoas com idades compreendidas entre os 0 e os 14 anos (expressa habitualmente por 100 (10^2) pessoas dos 0 aos 14 anos).
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
Definição;
Fórmula;&lt - p&gt - IE=[(P(65, +)/ P(0, 14)]*10^n&lt - br /&gt - &lt - br /&gt - P(65, +)=Popula&ccedil - &atilde - o residente com 65 e mais anos de idade. &lt - br /&gt - P(0, 14)=Popula&ccedil - &atilde - o residente com idade entre 0 e 14 anos.&lt - br /&gt - n=2.&lt - /p&gt - 
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;18-Jun-2024
