
Statistical table extracted on December 19, 2025 (10:20:33)
http://www.ine.pt



Place of residence (NUTS - 2013) (1) ;Population change (No.) by Place of residence (NUTS - 2013) -  Annual (3) ;
;Data reference period (2) ;
;2023;
;No. ;
2004204: Povoação;-15;
2004205: Ribeira Grande;239;
2004401: Santa Cruz da Graciosa;-12;
2004802: Santa Cruz das Flores;29;
2004603: São Roque do Pico;53;
2004502: Velas;1;
2004302: Vila da Praia da Vitória;72;
2004101: Vila do Porto;-7;
2004206: Vila Franca do Campo;10;
3: Região Autónoma da Madeira;2552;
30: Região Autónoma da Madeira;2552;
300: Região Autónoma da Madeira;2552;
3003101: Calheta;187;
3003102: Câmara de Lobos;364;
3003103: Funchal;560;
3003104: Machico;45;
3003105: Ponta do Sol;171;
3003106: Porto Moniz;28;
3003201: Porto Santo;202;
3003107: Ribeira Brava;216;
3003108: Santa Cruz;643;
3003109: Santana;31;
3003110: São Vicente;105;

Population change (No.) by Place of residence (NUTS - 2013) -  Annual - Statistics Portugal, Demographic indicators

Note(s):
(1) Resident Population Estimates according to the administrative territorial division corresponding to the version of the Official Administrative Map of Portugal in force at the date of the 2021 Census (CAOP 2020) and the version of NUTS (NUTS 2013) in force from January 1, 2015.

(2) 2011-2020, Final Resident Population Estimates - revised intercensal estimates (general regular revision) taking as reference the results of the 2011 and 2021 Censuses. From 2021 onwards, Provisional Resident Population Estimates - postcensal estimates based on the results of the 2021 Census .<BR>2022, Provisional Resident Population Estimates revised in June 2024, which include in the resident population displaced persons from Ukraine who are beneficiaries of the Temporary Protection regime in Portugal.

(3) The 2011 population change obtained by the algebraic sum of natural increase and net migration does not correspond to the difference between the final resident population estimates of 2010 and 2011, due to a statistical adjustment made to the 2010 population aged 79 and over, as a result of an undervaluation detected in the process of revision of the Provisional Resident Population Estimates 2011-2020 series, after the 2021 Census Final Results were made available. This adjustment amounted to +17.4 thousand people (+0.16%).



This data last updated:june 18, 2024


Table Metadata

Population change (No.)
Name;Population change (No.) by Place of residence (NUTS - 2013) -  Annual
Regularity;Annual
Source;Statistics Portugal, Demographic indicators
First available period;2011
Last available period;2023
Dimensions
     Dimension 1;Data reference period
     Dimension 2;Place of residence (NUTS - 2013)
Concepts
     POPULATION CHANGE;The difference between the size of the population at the end and the beginning of a period (usually two consecutive year ends). Can be calculated by the algebraic sum of the natural increase and net migration.
     REFERENCE PERIOD;Period to which the information refers and which may be a specific day or a time interval (month, fiscal year, calendar year, among others).
     RESIDENT POPULATION;The persons who regardless of the fact that at the moment of observation ' 0:00 a.m. of the reference day ' are present or absent in a given housing unit, this unit being where they live during most of the year with their family, or where they have all or most of their belongings.
Definition;
Formule;
Measure unit (symbol);Number (No.)
Power of 10;0
Last update date;18-Jun-2024
