
Quadro extraído em 19 de Dezembro de 2025 (11:10:41)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de dependência de jovens (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
185: Lezíria do Tejo;20,7;
1851403: Almeirim;20,9;
1851404: Alpiarça;20,6;
1851103: Azambuja;20,2;
1851405: Benavente;22,2;
1851406: Cartaxo;20,1;
1851407: Chamusca;18,2;
1851409: Coruche;19,5;
1851412: Golegã;18,6;
1851414: Rio Maior;21,3;
1851415: Salvaterra de Magos;20,4;
1851416: Santarém;20,9;
186: Alto Alentejo;20,1;
1861201: Alter do Chão;21;
1861202: Arronches;20;
1861203: Avis;19,9;
1861204: Campo Maior;22,5;
1861205: Castelo de Vide;17;
1861206: Crato;16,9;
1861207: Elvas;22,4;
1861208: Fronteira;16,5;
1861209: Gavião;14,3;
1861210: Marvão;17,5;
1861211: Monforte;22,4;
1861212: Nisa;15,6;
1861213: Ponte de Sor;19,9;
1861214: Portalegre;20,3;
1861215: Sousel;18,9;
187: Alentejo Central;20,2;
1870701: Alandroal;16,2;
1870702: Arraiolos;19,5;
1870703: Borba;20;
1870704: Estremoz;19,9;
1870705: Évora;21;
1870706: Montemor-o-Novo;20,1;
1870707: Mora;16,7;
1870708: Mourão;25;
1870709: Portel;18,9;
1870710: Redondo;19,1;
1870711: Reguengos de Monsaraz;21;
1870712: Vendas Novas;20,6;
1870713: Viana do Alentejo;21;
1870714: Vila Viçosa;17,9;
15: Algarve;22,1;
150: Algarve;22,1;
1500801: Albufeira;21,8;
1500802: Alcoutim;13,7;
1500803: Aljezur;22,8;
1500804: Castro Marim;20,5;
1500805: Faro;21,8;
1500806: Lagoa;21,8;
1500807: Lagos;20,5;
1500808: Loulé;22,5;
1500809: Monchique;18,2;
1500810: Olhão;23;
1500811: Portimão;23,8;
1500812: São Brás de Alportel;22,3;
1500813: Silves;22,5;
1500814: Tavira;20;
1500815: Vila do Bispo;22,7;
1500816: Vila Real de Santo António;21,9;
2: Região Autónoma dos Açores;20,9;
20: Região Autónoma dos Açores;20,9;
200: Região Autónoma dos Açores;20,9;
2004301: Angra do Heroísmo;19,5;
2004501: Calheta;18,8;
2004901: Corvo;18,8;
2004701: Horta;19,9;
2004201: Lagoa;22,6;
2004801: Lajes das Flores;15,6;
2004601: Lajes do Pico;19;
2004602: Madalena;21,4;
2004202: Nordeste;19,1;
2004203: Ponta Delgada;20,4;
2004204: Povoação;18,9;
2004205: Ribeira Grande;25,6;
2004401: Santa Cruz da Graciosa;23,1;
2004802: Santa Cruz das Flores;18,5;
2004603: São Roque do Pico;19,3;
2004502: Velas;18,6;
2004302: Vila da Praia da Vitória;19,9;
2004101: Vila do Porto;20,7;
2004206: Vila Franca do Campo;20,2;
3: Região Autónoma da Madeira;18,2;
30: Região Autónoma da Madeira;18,2;
300: Região Autónoma da Madeira;18,2;
3003101: Calheta;17,7;
3003102: Câmara de Lobos;20,3;
3003103: Funchal;17,7;
3003104: Machico;16;
3003105: Ponta do Sol;17,3;
3003106: Porto Moniz;13,7;
3003201: Porto Santo;16,2;
3003107: Ribeira Brava;18,1;
3003108: Santa Cruz;20,2;
3003109: Santana;15,9;
3003110: São Vicente;16;

Índice de dependência de jovens (N.º) por Local de residência (NUTS - 2013) -  Anual - INE, Estimativas anuais da população residente

Nota(s):
(1) Estimativas de População Residente segundo a divisão administrativa correspondente à versão da Carta Administrativa Oficial de Portugal em vigor à data dos Censos 2021 (CAOP 2020) e à versão das NUTS (NUTS 2013) em vigor a partir de 1 de janeiro de 2015.

(2) 2011-2020, Estimativas Definitivas de População Residente - estimativas intercensitárias revistas (revisão regular geral) tendo por referência os resultados dos Censos 2011 e 2021. A partir de 2021, Estimativas Provisórias de População Residente - estimativas pós-censitárias assentes nos resultados dos Censos 2021. <BR>2022, Estimativas Provisórias de População Residente revistas em junho de 2024, que incluem na população residente as pessoas deslocadas da Ucrânia beneficiárias do regime de Proteção Temporária em Portugal.



Última atualização destes dados: 18 de junho de 2024


Metainformação associada ao quadro

Índice de dependência de jovens (N.º)
Designação;Índice de dependência de jovens (N.º) por Local de residência (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Estimativas anuais da população residente
Primeiro período disponível;2011
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
Conceitos
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ÍNDICE DE DEPENDÊNCIA DE JOVENS;Relação entre a população jovem e a população em idade ativa, definida habitualmente como o quociente entre o número de pessoas com idades compreendidas entre os 0 e os 14 anos e o número de pessoas com idades compreendidas entre os 15 e os 64 anos (expressa habitualmente por 100 (10^2) pessoas com 15-64 anos).
Definição;
Fórmula;&lt - p&gt - IDJ=[P(0, 14)/ P(15, 64)]*10^n&lt - br /&gt - &lt - br /&gt - P(0, 14)=Popula&ccedil - &atilde - o residente com idade entre 0 e 14 anos.&lt - br /&gt - P(15, 64)=Popula&ccedil - &atilde - o residente com idade entre 15 e 64 anos.&lt - br /&gt - n=2.&lt - /p&gt - 
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;18-Jun-2024
