
Quadro extraído em 19 de Dezembro de 2025 (11:59:41)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Taxa de crescimento efetivo (%) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;% ;
1851415: Salvaterra de Magos;2,05;
1851416: Santarém;1,11;
186: Alto Alentejo;-0,21;
1861201: Alter do Chão;0,5;
1861202: Arronches;-0,29;
1861203: Avis;0,47;
1861204: Campo Maior;-0,5;
1861205: Castelo de Vide;-0,41;
1861206: Crato;0,4;
1861207: Elvas;-0,2;
1861208: Fronteira;1,12;
1861209: Gavião;-1,11;
1861210: Marvão;-0,43;
1861211: Monforte;0,9;
1861212: Nisa;-0,68;
1861213: Ponte de Sor;-0,06;
1861214: Portalegre;-0,63;
1861215: Sousel;0,16;
187: Alentejo Central;0,21;
1870701: Alandroal;-0,26;
1870702: Arraiolos;0,5;
1870703: Borba;-0,08;
1870704: Estremoz;-0,61;
1870705: Évora;0,28;
1870706: Montemor-o-Novo;0,35;
1870707: Mora;-0,53;
1870708: Mourão;1,16;
1870709: Portel;0,02;
1870710: Redondo;0,41;
1870711: Reguengos de Monsaraz;0,41;
1870712: Vendas Novas;0,75;
1870713: Viana do Alentejo;0,71;
1870714: Vila Viçosa;-0,3;
15: Algarve;1,14;
150: Algarve;1,14;
1500801: Albufeira;2,15;
1500802: Alcoutim;-1,85;
1500803: Aljezur;1,65;
1500804: Castro Marim;1,61;
1500805: Faro;0,79;
1500806: Lagoa;1,67;
1500807: Lagos;1,18;
1500808: Loulé;1,11;
1500809: Monchique;-0,75;
1500810: Olhão;0,5;
1500811: Portimão;1,44;
1500812: São Brás de Alportel;0,93;
1500813: Silves;1,38;
1500814: Tavira;0,68;
1500815: Vila do Bispo;0,98;
1500816: Vila Real de Santo António;0,83;
2: Região Autónoma dos Açores;0,37;
20: Região Autónoma dos Açores;0,37;
200: Região Autónoma dos Açores;0,37;
2004301: Angra do Heroísmo;-0,37;
2004501: Calheta;-0,57;
2004901: Corvo;0,23;
2004701: Horta;0,21;
2004201: Lagoa;1,32;
2004801: Lajes das Flores;0,49;
2004601: Lajes do Pico;0,41;
2004602: Madalena;0,74;
2004202: Nordeste;-0,05;
2004203: Ponta Delgada;0,55;
2004204: Povoação;-0,26;
2004205: Ribeira Grande;0,74;
2004401: Santa Cruz da Graciosa;-0,29;
2004802: Santa Cruz das Flores;1,39;
2004603: São Roque do Pico;1,57;
2004502: Velas;0,02;
2004302: Vila da Praia da Vitória;0,37;
2004101: Vila do Porto;-0,13;
2004206: Vila Franca do Campo;0,1;
3: Região Autónoma da Madeira;1;
30: Região Autónoma da Madeira;1;
300: Região Autónoma da Madeira;1;
3003101: Calheta;1,69;
3003102: Câmara de Lobos;1,12;
3003103: Funchal;0,52;
3003104: Machico;0,23;
3003105: Ponta do Sol;1,98;
3003106: Porto Moniz;1,11;
3003201: Porto Santo;3,7;
3003107: Ribeira Brava;1,67;
3003108: Santa Cruz;1,47;
3003109: Santana;0,48;
3003110: São Vicente;2,13;

Taxa de crescimento efetivo (%) por Local de residência (NUTS - 2013) -  Anual - INE, Indicadores demográficos

Nota(s):
(1) Estimativas de População Residente segundo a divisão administrativa correspondente à versão da Carta Administrativa Oficial de Portugal em vigor à data dos Censos 2021 (CAOP 2020) e à versão das NUTS (NUTS 2013) em vigor a partir de 1 de janeiro de 2015.

(2) 2011-2020, Estimativas Definitivas de População Residente - estimativas intercensitárias revistas (revisão regular geral) tendo por referência os resultados dos Censos 2011 e 2021. A partir de 2021, Estimativas Provisórias de População Residente - estimativas pós-censitárias assentes nos resultados dos Censos 2021.<br>2022, Estimativas Provisórias de População Residente revistas em junho de 2024, que incluem na população residente as pessoas deslocadas da Ucrânia beneficiárias do regime de Proteção Temporária em Portugal.



Última atualização destes dados: 18 de junho de 2024


Metainformação associada ao quadro

Taxa de crescimento efetivo (%)
Designação;Taxa de crescimento efetivo (%) por Local de residência (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Indicadores demográficos
Primeiro período disponível;2011
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
Conceitos
     POPULAÇÃO MÉDIA;População calculada pela média aritmética dos efetivos em dois momentos de observação, habitualmente em dois finais de anos consecutivos.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     TAXA DE CRESCIMENTO EFETIVO;Variação populacional observada durante um determinado período de tempo, normalmente um ano civil, referido à população média desse período (habitualmente expressa por 100 (10^2) ou 1000 (10^3) habitantes).
Definição;
Fórmula;&lt - p&gt - TCE=[[P(t)-P(t-1)]/[P(t)+P(t-1)]/2]*10^n -  P(t)=Popula&ccedil - &atilde - o no momento t -  P(t-1)=Popula&ccedil - &atilde - o no momento (t-1) -  n=2 ou 3&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;18-Jun-2024
