
Quadro extraído em 19 de Dezembro de 2025 (10:34:05)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de dependência total (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
1861203: Avis;77,6;
1861204: Campo Maior;61;
1861205: Castelo de Vide;78,4;
1861206: Crato;84;
1861207: Elvas;63,2;
1861208: Fronteira;69,9;
1861209: Gavião;94,5;
1861210: Marvão;77,7;
1861211: Monforte;69,4;
1861212: Nisa;92;
1861213: Ponte de Sor;71,3;
1861214: Portalegre;67,9;
1861215: Sousel;70,8;
187: Alentejo Central;64,7;
1870701: Alandroal;68;
1870702: Arraiolos;64,9;
1870703: Borba;68,4;
1870704: Estremoz;67,4;
1870705: Évora;59,6;
1870706: Montemor-o-Novo;71,3;
1870707: Mora;87;
1870708: Mourão;70,8;
1870709: Portel;64,5;
1870710: Redondo;63,8;
1870711: Reguengos de Monsaraz;64,6;
1870712: Vendas Novas;69,9;
1870713: Viana do Alentejo;61,9;
1870714: Vila Viçosa;62,7;
15: Algarve;60,9;
150: Algarve;60,9;
1500801: Albufeira;50,2;
1500802: Alcoutim;111,3;
1500803: Aljezur;66,4;
1500804: Castro Marim;76,4;
1500805: Faro;57,3;
1500806: Lagoa;60;
1500807: Lagos;62,5;
1500808: Loulé;60,8;
1500809: Monchique;79,8;
1500810: Olhão;60,8;
1500811: Portimão;59,6;
1500812: São Brás de Alportel;65;
1500813: Silves;63;
1500814: Tavira;71,8;
1500815: Vila do Bispo;67,9;
1500816: Vila Real de Santo António;66,3;
2: Região Autónoma dos Açores;46,5;
20: Região Autónoma dos Açores;46,5;
200: Região Autónoma dos Açores;46,5;
2004301: Angra do Heroísmo;49,9;
2004501: Calheta;56,5;
2004901: Corvo;46;
2004701: Horta;51,7;
2004201: Lagoa;41,6;
2004801: Lajes das Flores;47,9;
2004601: Lajes do Pico;57,5;
2004602: Madalena;51,4;
2004202: Nordeste;50,4;
2004203: Ponta Delgada;43,7;
2004204: Povoação;45;
2004205: Ribeira Grande;42,3;
2004401: Santa Cruz da Graciosa;57,1;
2004802: Santa Cruz das Flores;47,1;
2004603: São Roque do Pico;52,7;
2004502: Velas;50,7;
