
Quadro extraído em 19 de Dezembro de 2025 (10:54:24)
http://www.ine.pt



Local de residência (NUTS - 2013);População estrangeira com estatuto legal de residente (N.º) por Local de residência (NUTS - 2013) e Nacionalidade -  Anual;
;Período de referência dos dados;
;2023;
;Nacionalidade;
;Total;
;N.º ;
Fonte;INE, População estrangeira com estatuto legal de residente
Primeiro período disponível;2014
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
     Dimensão 3;Nacionalidade
Conceitos
     NACIONALIDADE;Cidadania legal da pessoa no momento de observação; são consideradas as nacionalidades constantes no bilhete de identidade, no passaporte, no título de residência ou no certificado de nacionalidade apresentado. As pessoas que, no momento de observação, tenham pendente um processo para obtenção da nacionalidade, devem ser considerados com a nacionalidade que detinham anteriormente.
     NACIONALIDADE;Ligação jurídica especial entre um indivíduo e o seu País, adquirida por nascimento ou naturalização, na sequência de declaração, opção, casamento ou outro meio, nos termos da legislação em vigor.
     POPULAÇÃO ESTRANGEIRA COM ESTATUTO LEGAL DE RESIDENTE;Conjunto de pessoas de nacionalidade não portuguesa com autorização ou cartão de residência, em conformidade com a legislação de estrangeiros em vigor. Não inclui os estrangeiros com situação regular ao abrigo da concessão de autorizações de permanência, de vistos de curta duração, de estudo, de trabalho ou de estada temporária, bem como os estrangeiros com situação irregular.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Observações;Contagem
Data da última atualização;17-Sep-2024
