
Quadro extraído em 09 de Dezembro de 2025 (22:21:16)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Taxa de atração líquida (%) de população empregada por conta de outrem por Localização geográfica (NUTS - 2024) -  Anual (1) ;
;Período de referência dos dados;
;2023;
;% ;
PT: Portugal;x x;
Nota(s):
(1) Os dados referem-se a trabalhadores por conta de outrem a tempo completo com remuneração completa.



Última atualização destes dados: 04 de abril de 2025


Metainformação associada ao quadro

Taxa de atração líquida (%) de população empregada por conta de outrem
Designação;Taxa de atração líquida (%) de população empregada por conta de outrem por Localização geográfica (NUTS - 2024) -  Anual
Periodicidade;Anual
Fonte;MTSSS/GEP, Quadros de pessoal
Primeiro período disponível;2021
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
Conceitos
     EMPREGADO;Indivíduo com idade mínima de 15 anos que, no período de referência, se encontrava numa das seguintes situações: 1) tinha efetuado trabalho de pelo menos uma hora, mediante pagamento de uma remuneração ou com vista a um benefício ou ganho familiar em dinheiro ou em géneros; 2) tinha uma ligação formal a um emprego mas não estava temporariamente ao serviço; 3) tinha uma empresa, mas não estava temporariamente a trabalhar por uma razão específica; 4) estava em situação de pré-reforma, mas a trabalhar.
     TRABALHADOR POR CONTA DE OUTREM;Indivíduo que exerce uma atividade sob a autoridade e direção de outrem, nos termos de um contrato de trabalho, sujeito ou não a forma escrita, e que lhe confere o direito a uma remuneração, a qual não depende dos resultados da unidade económica para a qual trabalha.
     ESTABELECIMENTO;Empresa ou parte de uma empresa (fábrica, oficina, mina, armazém, loja, entreposto, etc.) situada num local topograficamente identificado. Nesse local ou a partir dele exercem-se atividades económicas para as quais, regra geral, uma ou várias pessoas trabalham (eventualmente a tempo parcial), por conta de uma mesma empresa.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;&lt - p&gt - (Diferen&ccedil - a entre o fluxo de entrada e o fluxo de sa&iacute - da de trabalhadores por conta de outrem entre o ano n - 1 e o ano n/ N&uacute - mero m&eacute - dio de trabalhadores por conta de outrem entre o ano n - 1 e o ano n)*100&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;04-Apr-2025
