
Quadro extraído em 09 de Dezembro de 2025 (18:39:43)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Diplomadas/os do ensino superior (N.º) por Localização geográfica (NUTS - 2024), Sexo e Natureza institucional -  Anual (1) ;
;;Sexo;
;;HM;
;;Natureza institucional;
;;Total;
;;N.º ;
;3003102: Câmara de Lobos;- -;
;3003103: Funchal;793;
;3003104: Machico;- -;
;3003105: Ponta do Sol;- -;
;3003106: Porto Moniz;- -;
;3003107: Ribeira Brava;- -;
;3003108: Santa Cruz;- -;
;3003109: Santana;- -;
;3003110: São Vicente;- -;
;3003201: Porto Santo;- -;

Diplomadas/os do ensino superior (N.º) por Localização geográfica (NUTS - 2024), Sexo e Natureza institucional -  Anual - Direção-Geral de Estatísticas da Educação e Ciência

Nota(s):
(1) Inclui apenas os diplomas que conferem nível CITE de ensino superior -  exclui 'especializações', 'diplomas de especialização - curso de mestrado 2.º ciclo e 'diplomas de especialização - curso de doutoramente 3.º ciclo'.



Última atualização destes dados: 09 de outubro de 2025


Metainformação associada ao quadro

Diplomadas/os do ensino superior (N.º)
Designação;Diplomadas/os do ensino superior (N.º) por Localização geográfica (NUTS - 2024), Sexo e Natureza institucional -  Anual
Periodicidade;Anual
Fonte;Direção-Geral de Estatísticas da Educação e Ciência
Primeiro período disponível;1996 / 1997
Último período disponível;2023 / 2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Sexo
     Dimensão 4;Natureza institucional
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     ESTABELECIMENTO DE ENSINO;Unidade organizacional que disponibiliza uma ou mais ofertas de educação e formação.
     DIPLOMADO;Indivíduo que concluiu com aproveitamento o nível de ensino/curso em que estava matriculado/inscrito, tendo requerido o respetivo diploma.
     ESTABELECIMENTO DE ENSINO SUPERIOR;Estabelecimento de ensino público ou privado onde são ministrados cursos do ensino superior e cursos do ensino pós-secundário não superior.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;09-Oct-2025
