
Quadro extraído em 09 de Dezembro de 2025 (18:27:13)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Dissolução de pessoas coletivas e entidades equiparadas (N.º) por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual;
;Período de referência dos dados;
;2023;
;Atividade económica (Subclasse - CAE Rev. 3);
;Total;
;N.º ;
1500803: Aljezur;11;
1500804: Castro Marim;9;
1500805: Faro;108;
1500806: Lagoa;34;
1500807: Lagos;48;
1500808: Loulé;144;
1500809: Monchique;6;
1500810: Olhão;33;
1500811: Portimão;106;
1500812: São Brás de Alportel;9;
1500813: Silves;47;
1500814: Tavira;39;
1500815: Vila do Bispo;4;
1500816: Vila Real de Santo António;22;
2: Região Autónoma dos Açores;149;
20: Região Autónoma dos Açores;149;
200: Região Autónoma dos Açores;149;
2004301: Angra do Heroísmo;24;
2004501: Calheta;1;
2004901: Corvo;0;
2004701: Horta;11;
2004201: Lagoa;8;
2004801: Lajes das Flores;1;
2004601: Lajes do Pico;5;
2004602: Madalena;7;
2004202: Nordeste;0;
2004203: Ponta Delgada;60;
2004204: Povoação;0;
2004205: Ribeira Grande;12;
2004401: Santa Cruz da Graciosa;1;
2004802: Santa Cruz das Flores;2;
2004603: São Roque do Pico;4;
2004502: Velas;1;
2004302: Vila da Praia da Vitória;9;
2004101: Vila do Porto;1;
2004206: Vila Franca do Campo;2;
3: Região Autónoma da Madeira;650;
30: Região Autónoma da Madeira;650;
300: Região Autónoma da Madeira;650;
3003101: Calheta;11;
3003102: Câmara de Lobos;37;
3003103: Funchal;477;
3003104: Machico;30;
3003105: Ponta do Sol;7;
3003106: Porto Moniz;1;
3003201: Porto Santo;5;
3003107: Ribeira Brava;13;
3003108: Santa Cruz;60;
3003109: Santana;3;
3003110: São Vicente;6;

Dissolução de pessoas coletivas e entidades equiparadas (N.º) por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual - DGPJ - Direção Geral da Política da Justiça, Constituição e dissolução de pessoas coletivas e entidades equiparadas


Última atualização destes dados: 24 de janeiro de 2024


Metainformação associada ao quadro

Dissolução de pessoas coletivas e entidades equiparadas (N.º)
Designação;Dissolução de pessoas coletivas e entidades equiparadas (N.º) por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual
Periodicidade;Anual
Fonte;DGPJ - Direção Geral da Política da Justiça, Constituição e dissolução de pessoas coletivas e entidades equiparadas
Primeiro período disponível;2008
Último período disponível;2023
Dimensões
