
Quadro extraído em 19 de Dezembro de 2025 (17:10:09)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Ganho médio mensal (?) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual (1) ;
;;Setor de atividade económica (CAE Rev. 3);
;;Total;
;;Sexo;
;;HM;
;;? ;
;1B01504: Barreiro;1337,76;
;1B01506: Moita;1257,77;
;1B01507: Montijo;1206,12;
;1B01508: Palmela;1511,4;
;1B01510: Seixal;1504,9;
;1B01511: Sesimbra;1166,46;
;1B01512: Setúbal;1429,12;
;1C: Alentejo;1326,13;
;1C1: Alentejo Litoral;1419,88;
;1C11501: Alcácer do Sal;1210,07;
;1C11505: Grândola;1408,67;
;1C10211: Odemira;1077,74;
;1C11509: Santiago do Cacém;1273,1;
;1C11513: Sines;2180,75;
;1C2: Baixo Alentejo;1401,29;
;1C20201: Aljustrel;1473,4;
;1C20202: Almodôvar;1117,84;
;1C20203: Alvito;1266,03;
;1C20204: Barrancos;1036,54;
;1C20205: Beja;1298,94;
;1C20206: Castro Verde;2479,07;
;1C20207: Cuba;1110,78;
;1C20208: Ferreira do Alentejo;1230,26;
;1C20209: Mértola;1038,64;
;1C20210: Moura;1137,19;
;1C20212: Ourique;1117,84;
;1C20213: Serpa;1102,12;
;1C20214: Vidigueira;1218,98;
;1C3: Alto Alentejo;1197,92;
;1C31201: Alter do Chão;1103,34;
;1C31202: Arronches;1101,55;
;1C31203: Avis;1193,6;
;1C31204: Campo Maior;1496,22;
;1C31205: Castelo de Vide;1102,88;
;1C31206: Crato;1055,91;
;1C31207: Elvas;1098,05;
;1C31208: Fronteira;1111,3;
;1C31209: Gavião;1252,5;
;1C31210: Marvão;972,38;
;1C31211: Monforte;1201,11;
;1C31212: Nisa;1036,6;
;1C31213: Ponte de Sor;1179,51;
;1C31214: Portalegre;1262,35;
;1C31215: Sousel;1127,53;
;1C4: Alentejo Central;1271,71;
;1C40701: Alandroal;1171,44;
;1C40702: Arraiolos;1200,1;
;1C40703: Borba;1139,78;
;1C40704: Estremoz;1170,83;
;1C40705: Évora;1369,66;
;1C40706: Montemor-o-Novo;1186,96;
;1C40707: Mora;1142,26;
;1C40708: Mourão;1142,16;
;1C40709: Portel;1170,12;
;1C40710: Redondo;1157,12;
;1C40711: Reguengos de Monsaraz;1143,96;
;1C40712: Vendas Novas;1248,67;
;1C40713: Viana do Alentejo;1091;
;1C40714: Vila Viçosa;1254,94;
;15: Algarve;1238,68;
;150: Algarve;1238,68;
;1500801: Albufeira;1216,29;
;1500802: Alcoutim;1145,79;
;1500803: Aljezur;1093,13;
;1500804: Castro Marim;1088,51;
;1500805: Faro;1375,75;
;1500806: Lagoa;1264,01;
;1500807: Lagos;1185,75;
;1500808: Loulé;1264,47;
;1500809: Monchique;1106,7;
;1500810: Olhão;1165,53;
;1500811: Portimão;1221,21;
;1500812: São Brás de Alportel;1145,41;
;1500813: Silves;1215,78;
;1500814: Tavira;1124,99;
;1500815: Vila do Bispo;1120,41;
;1500816: Vila Real de Santo António;1179,48;
;2: Região Autónoma dos Açores;1315,09;
;20: Região Autónoma dos Açores;1315,09;
;200: Região Autónoma dos Açores;1315,09;
;2004301: Angra do Heroísmo;1266,84;
;2004501: Calheta (R.A.A.);1078,95;
;2004901: Corvo;1500,13;
;2004701: Horta;1315,42;
;2004201: Lagoa (R.A.A.);1172,96;
;2004801: Lajes das Flores;1121,97;
;2004601: Lajes do Pico;1064,65;
;2004602: Madalena;1136,7;
;2004202: Nordeste;1005,83;
;2004203: Ponta Delgada;1432,01;
;2004204: Povoação;1094,73;
;2004205: Ribeira Grande;1171,43;
;2004401: Santa Cruz da Graciosa;1215,06;
;2004802: Santa Cruz das Flores;1482,6;
;2004603: São Roque do Pico;1242,04;
;2004502: Velas;1146;
;2004302: Vila da Praia da Vitória;1239,69;
;2004101: Vila do Porto;2142,24;
;2004206: Vila Franca do Campo;1057,42;
;3: Região Autónoma da Madeira;1323,96;
;30: Região Autónoma da Madeira;1323,96;
;300: Região Autónoma da Madeira;1323,96;
;3003101: Calheta (R.A.M.);1321,53;
;3003102: Câmara de Lobos;1137,18;
;3003103: Funchal;1377,85;
;3003104: Machico;1229,68;
;3003105: Ponta do Sol;1094,29;
;3003106: Porto Moniz;1000,11;
;3003107: Ribeira Brava;1129,8;
;3003108: Santa Cruz;1275,64;
;3003109: Santana;1060,2;
;3003110: São Vicente;1043,69;
;3003201: Porto Santo;1345,14;

Ganho médio mensal (?) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual - MTSSS/GEP, Quadros de pessoal

Nota(s):
(1) Os dados referem-se a trabalhadores por conta de outrem a tempo completo com remuneração completa.



Última atualização destes dados: 04 de abril de 2025


Metainformação associada ao quadro

Ganho médio mensal (?)
Designação;Ganho médio mensal (?) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual
Periodicidade;Anual
Fonte;MTSSS/GEP, Quadros de pessoal
Primeiro período disponível;2021
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Setor de atividade económica (CAE Rev. 3)
     Dimensão 4;Sexo
Conceitos
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     ESTABELECIMENTO;Empresa ou parte de uma empresa (fábrica, oficina, mina, armazém, loja, entreposto, etc.) situada num local topograficamente identificado. Nesse local ou a partir dele exercem-se atividades económicas para as quais, regra geral, uma ou várias pessoas trabalham (eventualmente a tempo parcial), por conta de uma mesma empresa.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ATIVIDADE ECONÓMICA;Resultado da combinação dos fatores produtivos (mão de obra, matérias-primas, equipamento, etc.), com vista à produção de bens e serviços. Independentemente dos fatores produtivos que integram o bem ou serviço produzido, toda a atividade pressupõe, em termos genéricos, uma entrada de produtos (bens ou serviços), um processo de incorporação de valor acrescentado e uma saída (bens ou serviços).
     GANHO;Montante ilíquido em dinheiro e/ou géneros pago ao trabalhador com caráter regular, durante o período de referência, por tempo trabalhado ou trabalho fornecido no período normal e extraordinário, incluindo o pagamento de horas remuneradas, mas não efetuadas (férias, feriados e outras ausências pagas).
Definição;
Fórmula;
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Data da última atualização;04-Apr-2025
