
Quadro extraído em 09 de Dezembro de 2025 (21:57:21)
http://www.ine.pt



Local de residência (NUTS - 2024);Duração média do subsídio de desemprego da segurança social (Dia) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;Dia ;
2004201: Lagoa (R.A.A.);197;
2004801: Lajes das Flores;190;
2004601: Lajes do Pico;170;
2004602: Madalena;172;
2004202: Nordeste;223;
2004203: Ponta Delgada;175;
2004204: Povoação;217;
2004205: Ribeira Grande;178;
2004401: Santa Cruz da Graciosa;199;
2004802: Santa Cruz das Flores;184;
2004603: São Roque do Pico;190;
2004502: Velas;183;
2004302: Vila da Praia da Vitória;178;
2004101: Vila do Porto;186;
2004206: Vila Franca do Campo;178;
3: Região Autónoma da Madeira;177;
30: Região Autónoma da Madeira;177;
300: Região Autónoma da Madeira;177;
3003101: Calheta (R.A.M.);186;
3003102: Câmara de Lobos;169;
3003103: Funchal;181;
3003104: Machico;174;
3003105: Ponta do Sol;178;
3003106: Porto Moniz;212;
3003107: Ribeira Brava;164;
3003108: Santa Cruz;180;
3003109: Santana;169;
3003110: São Vicente;176;
3003201: Porto Santo;158;

Duração média do subsídio de desemprego da segurança social (Dia) por Local de residência (NUTS - 2024) e Sexo -  Anual - Instituto de Informática

Nota(s):
(1) Inclui beneficiárias/os de subsídio de desemprego, subsídio social de desemprego inicial e subsequente, prolongamento de subsídio social de desemprego e medida extraordinária de apoio aos desempregados de longa duração. Os beneficiárias/os são contados tantas vezes quantas os subsídios que recebem.



Última atualização destes dados: 01 de setembro de 2025


Metainformação associada ao quadro

Duração média do subsídio de desemprego da segurança social (Dia)
Designação;Duração média do subsídio de desemprego da segurança social (Dia) por Local de residência (NUTS - 2024) e Sexo -  Anual
Periodicidade;Anual
Fonte;Instituto de Informática
Primeiro período disponível;2023
Último período disponível;2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2024)
     Dimensão 3;Sexo
Conceitos
     SUBSÍDIO DE DESEMPREGO;Prestação pecuniária concedida aos trabalhadores que reúnam, na generalidade, as seguintes condições: terem sido trabalhadores por conta de outrem, durante, pelo menos, 540 dias de trabalho com o correspondente registo de remuneração num período de 24 meses imediatamente anterior à data de desemprego; tenham capacidade e disponibilidade para o trabalho; estejam em situação de desemprego involuntário; estejam inscritos nos centros de emprego; contribuam sobre salários reais.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     BENEFICIÁRIO;Pessoa inscrita como titular do direito a proteção social no âmbito dos Regimes da Segurança Social, contributivos e não contributivos.
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
Definição;
Fórmula;&lt - p&gt - Dura&ccedil - &atilde - o dos subs&iacute - dios de desemprego da seguran&ccedil - a social/ N&uacute - mero de benefici&aacute - rias/os&lt - /p&gt - 
Unidade de Medida (símbolo);Dia (Dia)
Potência de 10;0
Observações;SEGURANÇA SOCIAL: Conjunto de sistemas e subsistemas de direito exercido nos termos estabelecidos na Constituição, nos instrumentos internacionais aplicáveis e na Lei de Bases da Segurança Social.
Data da última atualização;01-Sep-2025
