
Quadro extraído em 09 de Dezembro de 2025 (22:18:02)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Empresas (N.º) por Localização geográfica (NUTS - 2024), Atividade económica (Divisão - CAE Rev. 3) e Forma jurídica -  Anual;
;;Atividade económica (Divisão - CAE Rev. 3);
;;Total;
;;Forma jurídica;
;;Total;
;;N.º ;
;1A01107: Loures;25120;
;1A01109: Mafra;13550;
;1A01116: Odivelas;21603;
;1A01110: Oeiras;29402;
;1A01111: Sintra;51273;
;1A01114: Vila Franca de Xira;14785;
;1B: Península de Setúbal;99962;
;1B0: Península de Setúbal;99962;
;1B01502: Alcochete;2320;
;1B01503: Almada;24623;
;1B01504: Barreiro;8149;
;1B01506: Moita;5809;
;1B01507: Montijo;7280;
;1B01508: Palmela;8375;
;1B01510: Seixal;20316;
;1B01511: Sesimbra;7194;
;1B01512: Setúbal;15896;
;1C: Alentejo;65855;
;1C1: Alentejo Litoral;14365;
;1C11501: Alcácer do Sal;1861;
;1C11505: Grândola;2339;
;1C10211: Odemira;4644;
;1C11509: Santiago do Cacém;3767;
;1C11513: Sines;1754;
;1C2: Baixo Alentejo;16726;
;1C20201: Aljustrel;890;
;1C20202: Almodôvar;922;
;1C20203: Alvito;328;
;1C20204: Barrancos;270;
;1C20205: Beja;5094;
;1C20206: Castro Verde;847;
;1C20207: Cuba;656;
;1C20208: Ferreira do Alentejo;1180;
;1C20209: Mértola;858;
;1C20210: Moura;2098;
;1C20212: Ourique;745;
;1C20213: Serpa;2075;
;1C20214: Vidigueira;763;
;1C3: Alto Alentejo;13328;
;1C31201: Alter do Chão;376;
;1C31202: Arronches;383;
;1C31203: Avis;466;
;1C31204: Campo Maior;786;
;1C31205: Castelo de Vide;424;
;1C31206: Crato;429;
;1C31207: Elvas;2742;
;1C31208: Fronteira;468;
;1C31209: Gavião;322;
;1C31210: Marvão;505;
;1C31211: Monforte;330;
;1C31212: Nisa;782;
;1C31213: Ponte de Sor;1736;
;1C31214: Portalegre;2916;
;1C31215: Sousel;663;
;1C4: Alentejo Central;21436;
;1C40701: Alandroal;682;
;1C40702: Arraiolos;898;
;1C40703: Borba;917;
;1C40704: Estremoz;1855;
;1C40705: Évora;7603;
;1C40706: Montemor-o-Novo;2341;
;1C40707: Mora;503;
;1C40708: Mourão;312;
;1C40709: Portel;777;
;1C40710: Redondo;921;
;1C40711: Reguengos de Monsaraz;1517;
;1C40712: Vendas Novas;1374;
;1C40713: Viana do Alentejo;820;
;1C40714: Vila Viçosa;916;
;15: Algarve;93838;
;150: Algarve;93838;
;1500801: Albufeira;11732;
;1500802: Alcoutim;365;
;1500803: Aljezur;1579;
;1500804: Castro Marim;970;
;1500805: Faro;12443;
;1500806: Lagoa;5558;
;1500807: Lagos;7720;
;1500808: Loulé;16593;
;1500809: Monchique;866;
;1500810: Olhão;6804;
;1500811: Portimão;11278;
;1500812: São Brás de Alportel;1998;
;1500813: Silves;6525;
;1500814: Tavira;5190;
;1500815: Vila do Bispo;1388;
;1500816: Vila Real de Santo António;2829;
;2: Região Autónoma dos Açores;31396;
;20: Região Autónoma dos Açores;31396;
;200: Região Autónoma dos Açores;31396;
;2004301: Angra do Heroísmo;4815;
;2004501: Calheta (R.A.A.);616;
;2004901: Corvo;90;
;2004701: Horta;2479;
;2004201: Lagoa (R.A.A.);1480;
;2004801: Lajes das Flores;278;
;2004601: Lajes do Pico;773;
;2004602: Madalena;1153;
;2004202: Nordeste;472;
;2004203: Ponta Delgada;8778;
;2004204: Povoação;520;
;2004205: Ribeira Grande;3039;
;2004401: Santa Cruz da Graciosa;591;
;2004802: Santa Cruz das Flores;365;
;2004603: São Roque do Pico;602;
;2004502: Velas;810;
;2004302: Vila da Praia da Vitória;2582;
;2004101: Vila do Porto;807;
;2004206: Vila Franca do Campo;1146;
;3: Região Autónoma da Madeira;33694;
;30: Região Autónoma da Madeira;33694;
;300: Região Autónoma da Madeira;33694;
;3003101: Calheta (R.A.M.);1912;
;3003102: Câmara de Lobos;3219;
;3003103: Funchal;16600;
;3003104: Machico;1804;
;3003105: Ponta do Sol;1694;
;3003106: Porto Moniz;368;
;3003107: Ribeira Brava;1462;
;3003108: Santa Cruz;4532;
;3003109: Santana;705;
;3003110: São Vicente;804;
;3003201: Porto Santo;594;

Empresas (N.º) por Localização geográfica (NUTS - 2024), Atividade económica (Divisão - CAE Rev. 3) e Forma jurídica -  Anual - INE, Sistema de contas integradas das empresas


Última atualização destes dados: 13 de dezembro de 2024


Metainformação associada ao quadro

Empresas (N.º)
Designação;Empresas (N.º) por Localização geográfica (NUTS - 2024), Atividade económica (Divisão - CAE Rev. 3) e Forma jurídica -  Anual
Periodicidade;Anual
Fonte;INE, Sistema de contas integradas das empresas
Primeiro período disponível;2023
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Atividade económica (Divisão - CAE Rev. 3)
     Dimensão 4;Forma jurídica
Conceitos
     EMPRESA;Entidade jurídica (pessoa singular ou coletiva) correspondente a uma unidade organizacional de produção de bens e/ou serviços, usufruindo de uma certa autonomia de decisão, nomeadamente quanto à afetação dos seus recursos correntes. Uma empresa pode exercer uma ou várias atividades, em um ou em vários locais.
     FORMA JURÍDICA;Classificação atribuída pelo direito e que pode revestir várias formas: Sociedades Civis (de Direito Público ou de Direito Privado; com fim lucrativo ou sem fim lucrativo) e Sociedades Comerciais.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ATIVIDADE ECONÓMICA;Resultado da combinação dos fatores produtivos (mão de obra, matérias-primas, equipamento, etc.), com vista à produção de bens e serviços. Independentemente dos fatores produtivos que integram o bem ou serviço produzido, toda a atividade pressupõe, em termos genéricos, uma entrada de produtos (bens ou serviços), um processo de incorporação de valor acrescentado e uma saída (bens ou serviços).
Definição;
Fórmula;IES
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;13-Dec-2024
