
Quadro extraído em 09 de Dezembro de 2025 (18:37:19)
http://www.ine.pt



Período de referência dos dados (1) ;Localização geográfica (NUTS - 2024) (2) ;Taxa de transição/ conclusão no ensino secundário (%) por Localização geográfica (NUTS - 2024), Sexo e Oferta -  Anual;
;;Sexo;
;;HM;
;;Oferta;
;;Total;
;;% ;
;1A01105: Cascais;90,5;
;1A01106: Lisboa;89,1;
;1A01107: Loures;87,6;
;1A01109: Mafra;87,2;
;1A01116: Odivelas;84,8;
;1A01110: Oeiras;91,4;
;1A01111: Sintra;86,1;
;1A01114: Vila Franca de Xira;85,7;
;1B: Península de Setúbal;88,7;
;1B0: Península de Setúbal;88,7;
;1B01502: Alcochete;91,4;
;1B01503: Almada;88,2;
;1B01504: Barreiro;90,4;
;1B01506: Moita;88,8;
;1B01507: Montijo;86,7;
;1B01508: Palmela;91,2;
;1B01510: Seixal;87,9;
;1B01511: Sesimbra;86,8;
;1B01512: Setúbal;88,8;
;1C: Alentejo;91,6;
;1C1: Alentejo Litoral;90,2;
;1C11501: Alcácer do Sal;93,6;
;1C11505: Grândola;92,2;
;1C10211: Odemira;88,7;
;1C11509: Santiago do Cacém;88,3;
;1C11513: Sines;91,4;
;1C2: Baixo Alentejo;90,5;
;1C20201: Aljustrel;90,3;
;1C20202: Almodôvar;95,4;
;1C20203: Alvito;85,7;
;1C20204: Barrancos;- -;
;1C20205: Beja;88,8;
;1C20206: Castro Verde;93,8;
;1C20207: Cuba;90,2;
;1C20208: Ferreira do Alentejo;93,1;
;1C20209: Mértola;92,6;
;1C20210: Moura;93,3;
;1C20212: Ourique;83,9;
;1C20213: Serpa;92,5;
;1C20214: Vidigueira;85,9;
;1C3: Alto Alentejo;93;
;1C31201: Alter do Chão;88,1;
;1C31202: Arronches;83,3;
;1C31203: Avis;- -;
;1C31204: Campo Maior;95,2;
;1C31205: Castelo de Vide;- -;
;1C31206: Crato;83,3;
;1C31207: Elvas;93,1;
;1C31208: Fronteira;- -;
;1C31209: Gavião;100;
;1C31210: Marvão;- -;
;1C31211: Monforte;- -;
;1C31212: Nisa;97,8;
;1C31213: Ponte de Sor;94,6;
;1C31214: Portalegre;92,9;
;1C31215: Sousel;90,3;
;1C4: Alentejo Central;92,4;
;1C40701: Alandroal;- -;
;1C40702: Arraiolos;89,2;
;1C40703: Borba;- -;
;1C40704: Estremoz;94,7;
;1C40705: Évora;92,2;
;1C40706: Montemor-o-Novo;91,7;
;1C40707: Mora;86,2;
;1C40708: Mourão;- -;
;1C40709: Portel;100;
;1C40710: Redondo;97,3;
;1C40711: Reguengos de Monsaraz;89,5;
;1C40712: Vendas Novas;94,7;
;1C40713: Viana do Alentejo;93;
;1C40714: Vila Viçosa;92,2;
;15: Algarve;87,4;
;150: Algarve;87,4;
;1500801: Albufeira;86,9;
;1500802: Alcoutim;- -;
;1500803: Aljezur;- -;
;1500804: Castro Marim;- -;
;1500805: Faro;90,4;
;1500806: Lagoa;82,7;
;1500807: Lagos;81;
;1500808: Loulé;88,9;
;1500809: Monchique;- -;
;1500810: Olhão;89,8;
;1500811: Portimão;86,3;
;1500812: São Brás de Alportel;91,9;
;1500813: Silves;86;
;1500814: Tavira;83;
;1500815: Vila do Bispo;- -;
;1500816: Vila Real de Santo António;90,6;
;2: Região Autónoma dos Açores;85,5;
;20: Região Autónoma dos Açores;85,5;
;200: Região Autónoma dos Açores;85,5;
;2004301: Angra do Heroísmo;86,9;
;2004501: Calheta (R.A.A.);90,4;
;2004901: Corvo;100;
;2004701: Horta;83,2;
;2004201: Lagoa (R.A.A.);74,1;
;2004801: Lajes das Flores;- -;
;2004601: Lajes do Pico;98,9;
;2004602: Madalena;75,5;
;2004202: Nordeste;83,2;
;2004203: Ponta Delgada;85,4;
;2004204: Povoação;84,1;
;2004205: Ribeira Grande;88,3;
;2004401: Santa Cruz da Graciosa;92,1;
;2004802: Santa Cruz das Flores;92,1;
;2004603: São Roque do Pico;87,9;
;2004502: Velas;85,6;
;2004302: Vila da Praia da Vitória;87,6;
;2004101: Vila do Porto;88,1;
;2004206: Vila Franca do Campo;90,3;
;3: Região Autónoma da Madeira;88,7;
;30: Região Autónoma da Madeira;88,7;
;300: Região Autónoma da Madeira;88,7;
;3003101: Calheta (R.A.M.);90,3;
;3003102: Câmara de Lobos;76,3;
;3003103: Funchal;88;
;3003104: Machico;95;
;3003105: Ponta do Sol;92;
;3003106: Porto Moniz;100;
;3003107: Ribeira Brava;85,3;
;3003108: Santa Cruz;92,7;
;3003109: Santana;93,1;
;3003110: São Vicente;89,7;
;3003201: Porto Santo;91,6;

Taxa de transição/ conclusão no ensino secundário (%) por Localização geográfica (NUTS - 2024), Sexo e Oferta -  Anual - Direção-Geral de Estatísticas da Educação e Ciência

Nota(s):
(1) Até ao ano letivo de 2007/2008 incluem apenas os cursos tecnológicos -  a partir do ano letivo de 2008/2009 incluem também os cursos profissionais.

(2) A localização geográfica corresponde à localização do estabelecimento de ensino onde os alunos 
se encontram matriculados.



Última atualização destes dados: 28 de junho de 2025


Metainformação associada ao quadro

Taxa de transição/ conclusão no ensino secundário (%)
Designação;Taxa de transição/ conclusão no ensino secundário (%) por Localização geográfica (NUTS - 2024), Sexo e Oferta -  Anual
Periodicidade;Anual
Fonte;Direção-Geral de Estatísticas da Educação e Ciência
Primeiro período disponível;2014 / 2015
Último período disponível;2023 / 2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Sexo
     Dimensão 4;Oferta
Conceitos
     OFERTA DE EDUCAÇÃO E FORMAÇÃO;Oferta de cursos, programas e outras vias para obtenção de qualificação, assim como de programas de educação pré-escolar e atividades de enriquecimento curricular, disponibilizada pelo sistema de educação e formação segundo legislação em vigor.
     ESTABELECIMENTO DE ENSINO;Unidade organizacional que disponibiliza uma ou mais ofertas de educação e formação.
     ALUNO MATRICULADO;Vide ALUNO
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     ESTABELECIMENTO DE ENSINO NÃO SUPERIOR;Estabelecimento de ensino público ou privado onde é ministrado o ensino básico e/ou o ensino secundário e/ou o ensino pós-secundário não superior, e por vezes a educação pré-escolar.
     ENSINO SECUNDÁRIO;Nível de ensino que corresponde a um ciclo de três anos (10.º, 11.º e 12.º anos de escolaridade), que se segue ao ensino básico e que visa aprofundar a formação do aluno para o prosseguimento de estudos ou para o ingresso no mundo do trabalho. Está organizado em cursos predominantemente orientados para o prosseguimento de estudos e cursos predominantemente orientados para a vida ativa.
Definição;
Fórmula;&lt - p&gt - [Alunos do ensino secund&aacute - rio que no final do ano lectivo obt&ecirc - m aproveitamento (podendo transitar para o ano de escolaridade seguinte)/ Alunos matriculados no ensino secund&aacute - rio, nesse ano lectivo]*100&lt - /p&gt - 
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;28-Jun-2025
