
Quadro extraído em 09 de Dezembro de 2025 (22:22:05)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Imposto sobre o rendimento de pessoas singulares liquidado por habitante (?) por Localização geográfica (NUTS - 2024) -  Anual;
;Período de referência dos dados;
;2023;
1C3: Alto Alentejo;1060;
1C31201: Alter do Chão;918;
1C31202: Arronches;907;
1C31203: Avis;827;
1C31204: Campo Maior;1093;
1C31205: Castelo de Vide;1087;
1C31206: Crato;826;
1C31207: Elvas;1102;
1C31208: Fronteira;910;
1C31209: Gavião;841;
1C31210: Marvão;754;
1C31211: Monforte;786;
1C31212: Nisa;960;
1C31213: Ponte de Sor;870;
1C31214: Portalegre;1456;
1C31215: Sousel;821;
1C4: Alentejo Central;1273;
1C40701: Alandroal;718;
1C40702: Arraiolos;1013;
1C40703: Borba;795;
1C40704: Estremoz;1077;
1C40705: Évora;1826;
1C40706: Montemor-o-Novo;1104;
1C40707: Mora;987;
1C40708: Mourão;728;
1C40709: Portel;618;
1C40710: Redondo;846;
1C40711: Reguengos de Monsaraz;1020;
1C40712: Vendas Novas;1142;
1C40713: Viana do Alentejo;893;
1C40714: Vila Viçosa;1000;
15: Algarve;1369;
150: Algarve;1369;
1500801: Albufeira;1339;
1500802: Alcoutim;759;
1500803: Aljezur;940;
1500804: Castro Marim;1048;
1500805: Faro;1957;
1500806: Lagoa;1310;
1500807: Lagos;1281;
1500808: Loulé;1562;
1500809: Monchique;698;
1500810: Olhão;1090;
1500811: Portimão;1343;
1500812: São Brás de Alportel;1309;
1500813: Silves;1072;
1500814: Tavira;1222;
1500815: Vila do Bispo;1059;
1500816: Vila Real de Santo António;1017;
2: Região Autónoma dos Açores;940;
20: Região Autónoma dos Açores;940;
200: Região Autónoma dos Açores;940;
2004301: Angra do Heroísmo;1025;
2004501: Calheta (R.A.A.);498;
2004901: Corvo;1105;
2004701: Horta;1016;
2004201: Lagoa (R.A.A.);790;
2004801: Lajes das Flores;790;
2004601: Lajes do Pico;643;
2004602: Madalena;714;
2004202: Nordeste;481;
2004203: Ponta Delgada;1304;
2004204: Povoação;491;
2004205: Ribeira Grande;565;
2004401: Santa Cruz da Graciosa;677;
2004802: Santa Cruz das Flores;837;
2004603: São Roque do Pico;904;
2004502: Velas;695;
2004302: Vila da Praia da Vitória;824;
2004101: Vila do Porto;1621;
2004206: Vila Franca do Campo;525;
3: Região Autónoma da Madeira;1007;
30: Região Autónoma da Madeira;1007;
300: Região Autónoma da Madeira;1007;
3003101: Calheta (R.A.M.);658;
3003102: Câmara de Lobos;425;
3003103: Funchal;1460;
3003104: Machico;598;
3003105: Ponta do Sol;524;
3003106: Porto Moniz;620;
3003107: Ribeira Brava;507;
3003108: Santa Cruz;907;
3003109: Santana;482;
3003110: São Vicente;506;
3003201: Porto Santo;1758;

Imposto sobre o rendimento de pessoas singulares liquidado por habitante (?) por Localização geográfica (NUTS - 2024) -  Anual - INE, Estatísticas do Rendimento ao nível local com base na informação produzida pelo Ministério das Finanças - Autoridade Tributária e Aduaneira.


Última atualização destes dados: 25 de julho de 2025


Metainformação associada ao quadro

Imposto sobre o rendimento de pessoas singulares liquidado por habitante (?)
Designação;Imposto sobre o rendimento de pessoas singulares liquidado por habitante (?) por Localização geográfica (NUTS - 2024) -  Anual
Periodicidade;Anual
Fonte;INE, Estatísticas do Rendimento ao nível local com base na informação produzida pelo Ministério das Finanças - Autoridade Tributária e Aduaneira.
Primeiro período disponível;2018
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
Conceitos
     IMPOSTO SOBRE O RENDIMENTO DE PESSOAS SINGULARES;Imposto que incide sobre o valor anual dos rendimentos das pessoas singulares residentes em Portugal, independentemente do local onde foram obtidos, e sobre o valor dos rendimentos obtidos em Portugal por não residentes.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     IMPOSTO SOBRE O RENDIMENTO DE PESSOAS SINGULARES LIQUIDADO;Valor do imposto que corresponde ao imposto devido, ou seja, à coleta líquida das deduções previstas no código do IRS e dos benefícios fiscais, antes de efetuadas as deduções relativas às retenções na fonte e aos pagamentos por conta.
Definição;
Fórmula;&lt - p&gt - Imposto sobre o rendimento de pessoas singulares liquidado/ Popula&ccedil - &atilde - o m&eacute - dia anual residente&lt - /p&gt - 
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Data da última atualização;25-Jul-2025
